carts,carts,carts-db,front-end,orders
carts-db,carts,carts-db
catalogue,catalogue,catalogue-db,front-end
catalogue-db,catalogue,catalogue-db
front-end,carts,catalogue,front-end,orders,session-db,user
orders,carts,front-end,orders,orders-db,payment,shipping,user
orders-db,orders,orders-db
payment,orders,payment
queue-master,queue-master,rabbitmq
rabbitmq,rabbitmq
session-db,session-db
shipping,orders,rabbitmq,shipping
user,front-end,orders,user,user-db
user-db,user,user-db
