timestamp,pod,cpu_usage(m),memory_usage(Mi)
2023-11-22 03:34:37,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:37,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:37,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:37,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:37,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:37,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:37,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:38,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:38,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:38,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:38,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:38,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:38,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:38,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:38,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:38,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:38,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:38,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:38,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:38,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:38,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:39,carts-5bb979cb6d-zdvn9,5,438
2023-11-22 03:34:39,carts-db-98ff4cbc7-qrqpw,6,345
2023-11-22 03:34:39,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:39,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:39,front-end-5d7b595bcd-kh446,5,445
2023-11-22 03:34:39,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:39,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:39,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:39,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:39,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:39,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:39,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:39,user-5c8d59bcd4-24rqf,4,192
2023-11-22 03:34:39,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:40,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:40,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:40,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:40,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:40,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:40,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:40,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:40,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:40,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:40,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:40,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:40,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:40,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:40,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:41,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:41,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:41,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:41,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:41,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:41,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:41,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:41,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:41,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:41,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:41,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:41,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:41,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:41,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:42,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:42,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:42,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:42,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:42,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:42,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:42,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:42,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:42,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:42,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:42,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:42,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:42,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:42,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:43,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:43,carts-db-98ff4cbc7-qrqpw,7,345
